numero_ticket,relato_cliente,canal_abertura
TK100078,Não autorizei essa cobrança recorrente e não reconheço a assinatura. Não compartilhei minha senha.,Central
TK100082,Não reconheço essa compra no meu cartão e não estive nesse estabelecimento.,Internet Banking
TK100075,Recebi a notificação de uma compra que desconheço. Preciso que verifiquem e façam o estorno.,Internet Banking
TK100076,Não reconheço essa compra no meu cartão e não estive nesse estabelecimento. A transação foi feita enquanto eu estava trabalhando.,Agência
TK100073,A cobrança apareceu novamente e eu não autorizei.,Internet Banking
TK100009,Acredito que os dados do meu cartão foram clonados.,Chat
TK100030,Recebi uma mensagem suspeita e depois identifiquei compras no cartão. Preciso que verifiquem e façam o estorno.,Central
TK100104,Acredito que os dados do meu cartão foram clonados. Só percebi quando conferi a fatura.,App
TK100070,"Meu cartão estava comigo, mas apareceram compras online que não reconheço. A transação foi feita enquanto eu estava trabalhando.",Internet Banking
TK100055,Cliquei em um link recebido por mensagem e depois apareceram transações que não reconheço.,Agência
TK100072,Recebi a notificação de uma compra que desconheço.,Agência
TK100101,Vi uma compra no aplicativo que não fui eu que fiz. Meu cartão estava comigo. Nunca estive nesse local.,Agência
TK100039,Acredito que os dados do meu cartão foram clonados. Preciso que verifiquem e façam o estorno.,Chat
TK100079,Uma pessoa se passou pelo banco e me orientou a fazer alguns procedimentos. Preciso que verifiquem e façam o estorno.,Internet Banking
TK100033,Acredito que os dados do meu cartão foram clonados. A transação foi feita enquanto eu estava trabalhando.,Central
TK100077,Acredito que os dados do meu cartão foram clonados. A transação foi feita enquanto eu estava trabalhando.,Central
TK100015,Recebi a notificação de uma compra que desconheço. A transação foi feita enquanto eu estava trabalhando.,Central
TK100000,Acredito que os dados do meu cartão foram clonados. Preciso que verifiquem e façam o estorno.,Chat
TK100019,Acredito que os dados do meu cartão foram clonados. Preciso que verifiquem e façam o estorno.,Internet Banking
TK100056,Acredito que os dados do meu cartão foram clonados. Só percebi quando conferi a fatura.,Central
TK100093,Recebi a notificação de uma compra que desconheço. Só percebi quando conferi a fatura.,Internet Banking
TK100025,Não reconheço essa compra no meu cartão e não estive nesse estabelecimento.,App
TK100113,Cliquei em um link recebido por mensagem e depois apareceram transações que não reconheço. Só percebi quando conferi a fatura.,Agência
TK100042,A cobrança apareceu novamente e eu não autorizei. Nunca estive nesse local.,Internet Banking
TK100022,Vi uma compra no aplicativo que não fui eu que fiz. Meu cartão estava comigo. Preciso que verifiquem e façam o estorno.,App
TK100046,Não reconheço essa compra no meu cartão e não estive nesse estabelecimento. Não compartilhei minha senha.,Central
TK100090,Recebi uma ligação e passei informações acreditando que era do banco. Só percebi quando conferi a fatura.,Central
TK100116,Cliquei em um link recebido por mensagem e depois apareceram transações que não reconheço. Só percebi quando conferi a fatura.,Internet Banking
TK100057,Vi uma compra no aplicativo que não fui eu que fiz. Meu cartão estava comigo. Nunca estive nesse local.,Agência
TK100024,Acredito que os dados do meu cartão foram clonados. Preciso que verifiquem e façam o estorno.,App
TK100017,Cliquei em um link recebido por mensagem e depois apareceram transações que não reconheço. A transação foi feita enquanto eu estava trabalhando.,App
TK100066,Acredito que os dados do meu cartão foram clonados.,App
TK100031,Acredito que os dados do meu cartão foram clonados. Preciso que verifiquem e façam o estorno.,App
TK100084,Vi uma compra no aplicativo que não fui eu que fiz. Meu cartão estava comigo. A transação foi feita enquanto eu estava trabalhando.,Agência
TK100094,Recebi uma mensagem suspeita e depois identifiquei compras no cartão.,Agência
TK100005,Recebi uma ligação e passei informações acreditando que era do banco. A transação foi feita enquanto eu estava trabalhando.,Internet Banking
TK100045,Vi uma compra no aplicativo que não fui eu que fiz. Meu cartão estava comigo.,Agência
TK100016,A cobrança apareceu novamente e eu não autorizei. Só percebi quando conferi a fatura.,Chat
TK100117,Não reconheço essa compra no meu cartão e não estive nesse estabelecimento.,Internet Banking
TK100003,Não reconheço essa compra no meu cartão e não estive nesse estabelecimento. Nunca estive nesse local.,Chat
TK100018,"Meu cartão estava comigo, mas apareceram compras online que não reconheço.",Chat
TK100060,Não reconheço essa compra no meu cartão e não estive nesse estabelecimento. Não compartilhei minha senha.,Agência
TK100063,Uma pessoa se passou pelo banco e me orientou a fazer alguns procedimentos.,Internet Banking
TK100110,Acredito que os dados do meu cartão foram clonados. Preciso que verifiquem e façam o estorno.,Internet Banking
TK100029,Acredito que os dados do meu cartão foram clonados.,Chat
TK100026,Recebi uma mensagem suspeita e depois identifiquei compras no cartão.,Internet Banking
TK100007,Vi uma compra no aplicativo que não fui eu que fiz. Meu cartão estava comigo. A transação foi feita enquanto eu estava trabalhando.,App
TK100108,"Meu cartão estava comigo, mas apareceram compras online que não reconheço. Preciso que verifiquem e façam o estorno.",App
TK100114,Recebi uma ligação e passei informações acreditando que era do banco. Nunca estive nesse local.,Internet Banking
